User,Tweets,Link to Tweet,Date/Time
@realDonaldTrump,Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of  Uranium?,http://twitter.com/realDonaldTrump/status/846854703183020032,"March 28, 2017 at 06:41PM"
@realDonaldTrump,"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",http://twitter.com/realDonaldTrump/status/847056211006631936,"March 29, 2017 at 08:01AM"
@realDonaldTrump,If the people of our great country could only see how viciously and inaccurately my administration is covered by certain media!,http://twitter.com/realDonaldTrump/status/847061031293779969,"March 29, 2017 at 08:21AM"
@realDonaldTrump,Today's EO established a commission on combating drug addiction and the opioid crisis. Watch listening session➡️… https://t.co/ooF2ediqSt,http://twitter.com/realDonaldTrump/status/847201455165624320,"March 29, 2017 at 05:39PM"
@realDonaldTrump,.@FLOTUS Melania and I were honored to stop by the Women's Empowerment  Panel this afternoon at the @WhiteHouse.… https://t.co/phLPw8lgTu,http://twitter.com/realDonaldTrump/status/847236476815511552,"March 29, 2017 at 07:58PM"
@realDonaldTrump,"Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.
#ThankAVeteran… https://t.co/deOHapcV4J",http://twitter.com/realDonaldTrump/status/847270189171228672,"March 29, 2017 at 10:12PM"
@realDonaldTrump,"The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, &amp; fast. We must fight them, &amp; Dems, in 2018!",http://twitter.com/realDonaldTrump/status/847435163143454723,"March 30, 2017 at 09:07AM"
@realDonaldTrump,The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? https://t.co/QIqLgvYLLi,http://twitter.com/realDonaldTrump/status/847455180912181249,"March 30, 2017 at 10:27AM"
@realDonaldTrump,Great op-ed from @RepKenBuck. Looks like some in the Freedom Caucus are helping me end #Obamacare. https://t.co/Y2vTnIBTBZ,http://twitter.com/realDonaldTrump/status/847558426557337600,"March 30, 2017 at 05:17PM"
@realDonaldTrump,"If @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador would get on board we would have both great healthcare and massive tax cuts &amp; reform.",http://twitter.com/realDonaldTrump/status/847559239149158401,"March 30, 2017 at 05:20PM"
@realDonaldTrump,"Where are @RepMarkMeadows, @Jim_Jordan and @Raul_Labrador?
#RepealANDReplace #Obamacare",http://twitter.com/realDonaldTrump/status/847559519085379584,"March 30, 2017 at 05:21PM"
@realDonaldTrump,The meeting next week with China will be a very difficult one in that we can no longer have massive trade deficits...,http://twitter.com/realDonaldTrump/status/847573220417044480,"March 30, 2017 at 06:16PM"
@realDonaldTrump,...and job losses. American companies must be prepared to look at other alternatives.,http://twitter.com/realDonaldTrump/status/847573358912974849,"March 30, 2017 at 06:16PM"
@realDonaldTrump,Only by enlisting the full potential of women in our society will we be truly able to #MakeAmericaGreatAgain🇺🇸… https://t.co/cxhgYaxiek,http://twitter.com/realDonaldTrump/status/847625389908217856,"March 30, 2017 at 09:43PM"
@realDonaldTrump,"Mike Flynn should ask for immunity in that this is a witch hunt (excuse for big election loss), by media &amp; Dems, of historic proportion!",http://twitter.com/realDonaldTrump/status/847766558520856578,"March 31, 2017 at 07:04AM"
@realDonaldTrump,"It was an honor to welcome the Prime Minister of Denmark, Lars Løkke Rasmussen {@larsloekke} to the @WhiteHouse yes… https://t.co/N1g0TiVnSp",http://twitter.com/realDonaldTrump/status/847819720418111488,"March 31, 2017 at 10:35AM"
@realDonaldTrump,"Great meeting with a wonderful woman today, former Secretary of State, Condoleezza Rice! #USA🇺🇸 https://t.co/ZuriIC3YwG",http://twitter.com/realDonaldTrump/status/847863243200753666,"March 31, 2017 at 01:28PM"
@realDonaldTrump,#ConfirmGorsuch #SCOTUS https://t.co/WkqHYMcYa3,http://twitter.com/realDonaldTrump/status/847867380562894848,"March 31, 2017 at 01:45PM"
@realDonaldTrump,"It is an exciting time for our country!
#WeeklyAddress #ConfirmGorsuch https://t.co/tP4bkvTOBq",http://twitter.com/realDonaldTrump/status/847878820220858369,"March 31, 2017 at 02:30PM"
@realDonaldTrump,Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years' ➡️… https://t.co/cVWXOa1MjY,http://twitter.com/realDonaldTrump/status/847895524632129536,"March 31, 2017 at 03:37PM"
@realDonaldTrump,We are going to defend our industry &amp; create a level playing field for the American worker. It is time to put… https://t.co/dzPKJMghj1,http://twitter.com/realDonaldTrump/status/847924397180583937,"March 31, 2017 at 05:31PM"
